PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,ap,atlantic,bbc,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fox,guardian,huffingtonpost,infowars,intercept,jacobinmag,motherjones,nationalreview,nbc,npr,nypost,nytimes,pbs,pjmedia,rawstory,redstate,rt,slate,spectator,townhall,truthdig,usatoday,vice,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
A federal,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,434,0,0.0,0.0,,Neutral
ADVERTISEMENT The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,145,0,0.0,0.0,,Neutral
Affordable Care Act,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,250,0,0.0,0.0,,Neutral
Aid Access,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338,219,0,0.0,0.0,,Neutral
Amy Coney Barrett,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,63,1,1.0,0.0,,Neutral
Attorney General,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,532,0,0.0,0.0,,Neutral
Biden administration,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568,16,0,0.0,0.0,,Neutral
Biden has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,161,0,0.0,0.0,,Neutral
Biden will,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885,29,0,0.0,0.0,,Neutral
Born Alive,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,407,1,1.0,0.0,,Neutral
Buenos Aires,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,50,0,0.0,0.0,,Neutral
Catholic Church,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,242,1,1.0,0.0,,Neutral
Catholic country,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430,43,0,0.0,0.0,,Neutral
Center for Reproductive,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,711,1,1.0,0.0,,Neutral
Chief Justice,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,616,1,1.0,0.0,,Neutral
Chief Justice Roberts,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,118,0,0.0,0.0,,Neutral
Church has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895,27,0,0.0,0.0,,Neutral
Constitutional Court,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,35,1,1.0,0.0,,Neutral
Democratic Party,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,455,0,0.0,0.0,,Neutral
Democratic presidential,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533,509,0,0.0,0.0,,Neutral
Donald Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,1085,0,0.0,0.0,,Neutral
Editing by,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,45,0,0.0,0.0,,Neutral
Holy Communion,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,91,1,1.0,0.0,,Neutral
I am,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880,888,0,0.0,0.0,,Neutral
I dont,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,1038,0,0.0,0.0,,Neutral
I think,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,1632,0,0.0,0.0,,Neutral
I was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718,1241,0,0.0,0.0,,Neutral
If you,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,597,0,0.0,0.0,,Neutral
