PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,defenseone,economist,federalist,fivethirtyeight,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,jpost,lewrockwell,mintpress,motherjones,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,pbs,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,vice,voltairenetwork,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
A man,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,2154,0,0.0,0.0,,Neutral
A woman,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702,2199,0,0.0,0.0,,Neutral
ADVERTISEMENT The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,896,0,0.0,0.0,,Neutral
Advertisement The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,557,0,0.0,0.0,,Neutral
Air Force,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2161,1,1.0,0.0,,Neutral
All rights reserved,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943,518,0,0.0,0.0,,Neutral
And I,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,6217,0,0.0,0.0,,Neutral
BEGIN VIDEO CLIP,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,1264,0,0.0,0.0,,Neutral
Benjamin Netanyahu,7487.0,534.0,48.0,39.0,6.0,29.0,160.0,28.0,59.0,276.0,12.0,30.0,38.0,97.0,19.0,348.0,216.0,65.0,45.0,114.0,114.0,54.0,173.0,13.0,6.0,4.0,15.0,2.0,6.0,445.0,17.0,44.0,420.0,33.0,87.0,61.0,89.0,53.0,9.0,72.0,217.0,5.0,103.0,350.0,18.0,13.0,295.0,229.0,284.0,6.0,3.0,31.0,21.0,38.0,2.0,0.0,303.0,50.0,26.0,384.0,2.0,49.0,2.0,4.0,3.0,56.0,52.0,0.0,2.0,0.0,106.0,127.0,1.0,12.0,13.0,118.0,551.0,131.0,5,5477,1,1.0,1.0,-844.0,Left
Black Lives Matter,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,2065,0,0.0,0.0,,Neutral
