PHRASE,TOTAL,aljazeera,alternet,ap,atlantic,breitbart,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,guardian,huffingtonpost,intercept,motherjones,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,usatoday,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
ADVERTISEMENT The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,39,0,0.0,0.0,,Neutral
Alaska Native,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,142,0,0.0,0.0,,Neutral
American Indian,497.0,4.0,5.0,8.0,6.0,22.0,1.0,7.0,5.0,8.0,24.0,20.0,25.0,67.0,1.0,5.0,9.0,7.0,20.0,9.0,7.0,6.0,26.0,22.0,8.0,10.0,4.0,15.0,18.0,34.0,19.0,72.0,3.0,22,497,1,1.0,1.0,-102.0,Left
American Indian on,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,9,0,0.0,0.0,,Neutral
American Indians,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,343,1,0.0,0.0,,Neutral
American and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844,55,0,0.0,0.0,,Neutral
American woman in,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,8,0,0.0,0.0,,Neutral
And so,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643,93,0,0.0,0.0,,Neutral
Around the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595,17,0,0.0,0.0,,Neutral
Bears Ears,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,193,1,1.0,0.0,,Neutral
CARES Act,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,72,0,0.0,0.0,,Neutral
Centers for Disease,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,22,0,0.0,0.0,,Neutral
Cherokee Nation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,248,1,1.0,0.0,,Neutral
Cheyenne River Sioux,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,109,0,0.0,0.0,,Neutral
Child Welfare Act,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,46,0,0.0,0.0,,Neutral
Columbus Day,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,67,0,0.0,0.0,,Neutral
Control and Prevention,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706,17,0,0.0,0.0,,Neutral
Creek Nation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,137,0,0.0,0.0,,Neutral
Creek Nations,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,18,0,0.0,0.0,,Neutral
Creek Reservation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,8,0,0.0,0.0,,Neutral
Creek reservation,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,15,0,0.0,0.0,,Neutral
DNA test,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,177,1,1.0,0.0,,Neutral
