PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanspectator,americanthinker,antiwar,ap,atlantic,bbc,breitbart,buzzfeed,canary,cbs,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,economist,federalist,fox,globalresearch,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,lewrockwell,mintpress,nationalreview,nbc,neweasternoutlook,npr,nypost,nytimes,opednews,peoplesdaily,pjmedia,rawstory,redstate,rt,shadowproof,slate,socialistproject,spectator,strategicculture,truthdig,usatoday,veteranstoday,vice,vox,wapo,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
ADVERTISEMENT The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691,88,0,0.0,0.0,,Neutral
Abu Dhabi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,120,1,1.0,0.0,,Neutral
According to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,1435,0,0.0,0.0,,Neutral
Additional reporting by,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,29,0,0.0,0.0,,Neutral
African American,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582,253,0,0.0,0.0,,Neutral
And I,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665,845,0,0.0,0.0,,Neutral
And I think,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,242,0,0.0,0.0,,Neutral
And so,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,481,0,0.0,0.0,,Neutral
Apartheid Israel,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,104,1,1.0,1.0,0.0,Neutral
Arab League,161.0,34.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,6.0,6.0,2.0,7.0,4.0,0.0,6.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,6.0,1.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0,3.0,0.0,20.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,5,161,1,1.0,1.0,12.0,Right
Arab countries,264.0,51.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,5.0,1.0,15.0,3.0,5.0,3.0,14.0,0.0,0.0,2.0,0.0,1.0,7.0,8.0,15.0,1.0,0.0,1.0,0.0,3.0,1.0,18.0,3.0,11.0,0.0,2.0,1.0,3.0,10.0,4.0,3.0,8.0,1.0,10.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,3.0,0.0,4.0,15.0,4,264,1,1.0,1.0,-57.0,Left
BDS movement,744.0,79.0,6.0,2.0,3.0,3.0,1.0,2.0,0.0,0.0,7.0,5.0,35.0,2.0,3.0,70.0,11.0,0.0,25.0,69.0,2.0,1.0,1.0,25.0,56.0,10.0,27.0,6.0,0.0,1.0,26.0,15.0,1.0,48.0,14.0,9.0,4.0,3.0,4.0,1.0,1.0,0.0,30.0,9.0,21.0,10.0,2.0,3.0,9.0,8.0,0.0,31.0,8.0,3.0,1.0,10.0,21.0,6,744,1,1.0,1.0,-8.0,Left
Bahrain and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929,82,0,0.0,0.0,,Neutral
Baroud is a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,111,0,0.0,0.0,,Neutral
Ben Gurion,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,322,1,1.0,0.0,,Neutral
Benjamin Netanyahu,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,1359,1,1.0,0.0,,Neutral
Bernie Sanders,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,815,1,1.0,0.0,,Neutral
Black Lives Matter,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,443,0,0.0,0.0,,Neutral
