PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,bloomberg,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,federalist,fivethirtyeight,foreignaffairs,fox,freebeacon,globalresearch,guardian,huffingtonpost,infowars,intercept,jacobinmag,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newyorker,npr,nypost,nytimes,observerny,opednews,pbs,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,rt,science,scientificamerican,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
ADVERTISEMENT The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,702,1214,0,0.0,0.0,,Neutral
Bank of,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,10052,0,0.0,0.0,,Neutral
Bank of America,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655,2935,0,0.0,0.0,,Neutral
Belt and Road,291.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,7.0,23.0,1.0,0.0,11.0,1.0,6.0,0.0,19.0,0.0,19.0,9.0,0.0,4.0,0.0,0.0,2.0,8.0,35.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,29,291,1,1.0,1.0,6.0,Right
Bernie Sanders,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,5591,1,1.0,0.0,,Neutral
Between the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,229,0,0.0,0.0,,Neutral
Business on,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925,1102,0,0.0,0.0,,Neutral
China and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818,2449,0,0.0,0.0,,Neutral
China is,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,1280,0,0.0,0.0,,Neutral
China will,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,320,0,0.0,0.0,,Neutral
D CA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,337,0,0.0,0.0,,Neutral
Democratic presidential,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,2927,0,0.0,0.0,,Neutral
Deutsche Bank,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,3351,1,1.0,0.0,,Neutral
Donald Trump,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,11326,0,0.0,0.0,,Neutral
Donald Trumps,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,3419,0,0.0,0.0,,Neutral
Dow Jones,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,3758,1,0.0,0.0,,Neutral
Dow Jones Industrial,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,1898,1,1.0,0.0,,Neutral
Editing by,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,836,0,0.0,0.0,,Neutral
FILE In this,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,827,288,0,0.0,0.0,,Neutral
FILE PHOTO A,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,482,0,0.0,0.0,,Neutral
FILE PHOTO The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821,443,0,0.0,0.0,,Neutral
Federal Reserve,11086.0,67.0,113.0,44.0,13.0,0.0,129.0,55.0,42.0,7.0,200.0,415.0,3.0,5.0,404.0,299.0,1008.0,248.0,21.0,99.0,191.0,80.0,102.0,272.0,1.0,233.0,25.0,3.0,19.0,116.0,1.0,87.0,279.0,27.0,634.0,29.0,113.0,1.0,254.0,5.0,52.0,1.0,124.0,361.0,6.0,30.0,218.0,339.0,419.0,6.0,27.0,28.0,0.0,21.0,24.0,0.0,322.0,27.0,186.0,138.0,0.0,1.0,1.0,42.0,9.0,2.0,6.0,76.0,4.0,4.0,11.0,3.0,113.0,522.0,0.0,3.0,19.0,229.0,975.0,961.0,26,11086,1,1.0,1.0,-1379.0,Left
For more,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,1598,0,0.0,0.0,,Neutral
Fourth of July,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863,494,0,0.0,0.0,,Neutral
Friday night,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,332,0,0.0,0.0,,Neutral
Get our,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,811,0,0.0,0.0,,Neutral
Hong Kong,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,4166,1,1.0,0.0,,Neutral
Hunter Biden,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,717,1,1.0,0.0,,Neutral
I think,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836,11445,0,0.0,0.0,,Neutral
I was,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,4951,0,0.0,0.0,,Neutral
