PHRASE,TOTAL,aljazeera,alternet,americanconservative,americanthinker,antiwar,ap,atlantic,axios,breitbart,businessinsider,buzzfeed,canary,cbs,cnbc,cnn,commondreams,consortium,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,factcheck,federalist,fivethirtyeight,fox,freebeacon,globalresearch,grayzone,guardian,huffingtonpost,independent,infowars,intercept,jacobinmag,koreaherald,lewrockwell,mintpress,motherjones,msnbc,nationalreview,nbc,neweasternoutlook,newsbud,newyorker,npr,nypost,nytimes,observerny,offguardian,opednews,peoplesdaily,pjmedia,propublica,psychologytoday,rawstory,redstate,reuters,reveal,rt,science,scientificamerican,shadowproof,slate,snopes,socialistalternative,socialistproject,spectator,strategicculture,techcrunch,time,townhall,truthdig,usatoday,verge,veteranstoday,vice,voltairenetwork,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
A man,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,2337,0,0.0,0.0,,Neutral
ADVERTISEMENT The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,3661,0,0.0,0.0,,Neutral
Advertisement The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,1602,0,0.0,0.0,,Neutral
All rights reserved,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,1936,0,0.0,0.0,,Neutral
Also on,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522,8530,0,0.0,0.0,,Neutral
And I,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,17151,0,0.0,0.0,,Neutral
Attorney General,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,23654,0,0.0,0.0,,Neutral
BEGIN VIDEO CLIP,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386,3684,0,0.0,0.0,,Neutral
Black Lives Matter,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479,2651,0,0.0,0.0,,Neutral
By signing,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930,384,0,0.0,0.0,,Neutral
COVID vaccine,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,414,0,0.0,0.0,,Neutral
Central Asia,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,876,0,0.0,0.0,,Neutral
China and,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,11404,0,0.0,0.0,,Neutral
China has,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,5033,0,0.0,0.0,,Neutral
Chinese President Xi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415,1240,0,0.0,0.0,,Neutral
Counsel Robert Mueller,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,2605,1,0.0,0.0,,Neutral
Crew Dragon,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1354,1,1.0,0.0,,Neutral
December The,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558,499,0,0.0,0.0,,Neutral
Deep State,2350.0,0.0,67.0,23.0,28.0,10.0,2.0,13.0,2.0,22.0,2.0,5.0,0.0,7.0,0.0,48.0,24.0,72.0,0.0,42.0,31.0,58.0,1.0,5.0,1.0,0.0,21.0,0.0,110.0,0.0,66.0,0.0,19.0,5.0,0.0,158.0,7.0,0.0,0.0,344.0,15.0,24.0,0.0,13.0,36.0,52.0,1.0,1.0,20.0,14.0,11.0,6.0,29.0,11.0,0.0,52.0,0.0,0.0,94.0,125.0,0.0,0.0,15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,71.0,200.0,0.0,0.0,12.0,17.0,23.0,0.0,192.0,5.0,0.0,19.0,89.0,2.0,15,2350,1,1.0,1.0,221.0,Right
Donald Trump,70068.0,1498.0,2672.0,366.0,96.0,53.0,746.0,441.0,18.0,1127.0,335.0,658.0,61.0,1216.0,142.0,5073.0,1150.0,337.0,265.0,896.0,2316.0,3032.0,1564.0,221.0,453.0,29.0,377.0,48.0,4229.0,31.0,262.0,35.0,3073.0,795.0,298.0,486.0,773.0,106.0,20.0,525.0,281.0,543.0,24.0,1031.0,4908.0,253.0,0.0,83.0,1088.0,525.0,1190.0,159.0,100.0,144.0,10.0,646.0,39.0,7.0,8479.0,1438.0,262.0,26.0,1431.0,10.0,9.0,31.0,697.0,59.0,6.0,9.0,453.0,404.0,5.0,45.0,46.0,787.0,3402.0,14.0,503.0,110.0,42.0,1592.0,3182.0,172.0,0,26497,1,1.0,1.0,-15047.0,Left
Donald Trump,70068.0,1498.0,2672.0,366.0,96.0,53.0,746.0,441.0,18.0,1127.0,335.0,658.0,61.0,1216.0,142.0,5073.0,1150.0,337.0,265.0,896.0,2316.0,3032.0,1564.0,221.0,453.0,29.0,377.0,48.0,4229.0,31.0,262.0,35.0,3073.0,795.0,298.0,486.0,773.0,106.0,20.0,525.0,281.0,543.0,24.0,1031.0,4908.0,253.0,0.0,83.0,1088.0,525.0,1190.0,159.0,100.0,144.0,10.0,646.0,39.0,7.0,8479.0,1438.0,262.0,26.0,1431.0,10.0,9.0,31.0,697.0,59.0,6.0,9.0,453.0,404.0,5.0,45.0,46.0,787.0,3402.0,14.0,503.0,110.0,42.0,1592.0,3182.0,172.0,115,70068,0,0.0,0.0,-15047.0,Left
Donald Trumps,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,16408,0,0.0,0.0,,Neutral
Download the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,954,0,0.0,0.0,,Neutral
END VIDEO CLIP,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,3657,0,0.0,0.0,,Neutral
FILE In this,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860,675,0,0.0,0.0,,Neutral
