PHRASE,TOTAL,aljazeera,alternet,americanconservative,ap,atlantic,bbc,breitbart,businessinsider,buzzfeed,cbs,cnn,commondreams,conversation,counterpunch,dailycaller,dailykos,dailymail,dailywire,economist,eff,federalist,fox,guardian,huffingtonpost,infowars,intercept,lewrockwell,mintpress,nationalreview,nbc,npr,nypost,nytimes,pjmedia,rawstory,redstate,rt,slate,spectator,techcrunch,time,usatoday,verge,vice,vox,wapo,wsj,Unnamed: 0,COUNT,ON_TOPIC,UNIQUE,SPECIFIC,bias_score,calculated_bias
And theyre,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,11,0,0.0,0.0,,Neutral
Atlantic Council,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,32,1,1.0,0.0,,Neutral
Big Tech,341.0,0.0,1.0,0.0,2.0,0.0,0.0,16.0,3.0,1.0,0.0,4.0,0.0,2.0,3.0,10.0,0.0,0.0,1.0,0.0,13.0,53.0,22.0,1.0,0.0,32.0,0.0,5.0,0.0,15.0,3.0,0.0,8.0,0.0,46.0,3.0,58.0,12.0,1.0,3.0,0.0,0.0,0.0,4.0,1.0,4.0,14.0,0.0,0,284,1,1.0,1.0,244.0,Right
Big Tech companies,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,47,1,0.0,0.0,,Neutral
Big Techs,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,52,1,0.0,0.0,,Neutral
But a,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817,25,0,0.0,0.0,,Neutral
But the,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,145,0,0.0,0.0,,Neutral
But these,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,23,0,0.0,0.0,,Neutral
China based,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523,38,0,0.0,0.0,,Neutral
Chinas Foreign Ministry,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,18,0,0.0,0.0,,Neutral
Chinese President Xi,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575,42,0,0.0,0.0,,Neutral
Chinese authorities,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,119,1,1.0,0.0,,Neutral
Chinese authorities to,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849,19,0,0.0,0.0,,Neutral
Chinese citizens,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,71,1,1.0,0.0,,Neutral
